,date_time,city,state,country,shape,duration_seconds,latitude_deg,longitude_deg,date,time,year,zip_code
484,10/11/12 21:00,Levittown,PA,US,diamond,60,40.155,-74.8291667,10/11/12,21:00,12,19055
485,10/11/12 21:01,Phoenix,AZ,US,sphere,30,33.4483333,-112.0733333,10/11/12,21:01,12,85004
486,10/11/12 22:15,Blue Island,IL,US,circle,45,41.6572222,-87.68,10/11/12,22:15,12,60406
488,10/11/13 1:00,Saginaw,MI,US,chevron,4,43.4194444,-83.9508333,10/11/13,1:00,13,48601
490,10/11/13 6:13,Ankeny,IA,US,circle,120,41.7297222,-93.6055556,10/11/13,6:13,13,50023
491,10/11/13 9:05,Palm Beach Gardens,FL,US,light,15,26.8230556,-80.1388889,10/11/13,9:05,13,33418
493,10/11/13 16:35,Kalamazoo,MI,US,fireball,600,42.2916667,-85.5872222,10/11/13,16:35,13,49007
494,10/11/13 19:00,Lawrence,KS,US,unknown,240,38.9716667,-95.235,10/11/13,19:00,13,66044
495,10/11/13 19:00,Rittman,OH,US,light,0,40.9780556,-81.7822222,10/11/13,19:00,13,44270
497,10/11/13 19:33,Winterhaven,CA,US,light,0,32.7394444,-114.6338889,10/11/13,19:33,13,92283
498,10/11/13 19:50,Essex Junction,VT,US,light,60,44.4905556,-73.1113889,10/11/13,19:50,13,05452
500,10/11/13 20:00,Cincinnati,OH,US,circle,300,39.1619444,-84.4569444,10/11/13,20:00,13,45212
501,10/11/13 20:00,Cincinnati,OH,US,fireball,240,39.1619444,-84.4569444,10/11/13,20:00,13,45212
502,10/11/13 20:00,Naples,FL,US,light,7200,26.1416667,-81.795,10/11/13,20:00,13,34102
503,10/11/13 20:00,Saginaw,MI,US,unknown,0,43.4194444,-83.9508333,10/11/13,20:00,13,48601
505,10/11/13 20:15,Cincinnati,OH,US,fireball,60,39.1619444,-84.4569444,10/11/13,20:15,13,45212
506,10/11/13 20:15,Union,KY,US,fireball,300,38.9458333,-84.6805556,10/11/13,20:15,13,41091
507,10/11/13 20:20,Hubbardston,MA,US,fireball,60,42.4736111,-72.0066667,10/11/13,20:20,13,01452
508,10/11/13 20:45,Covington,GA,US,light,300,33.5966667,-83.8602778,10/11/13,20:45,13,30014
509,10/11/13 21:00,Drexel,OH,US,sphere,180,39.7463889,-84.2866667,10/11/13,21:00,13,45417
510,10/11/13 21:00,Fayetteville,NY,US,chevron,90,43.0297222,-76.0047222,10/11/13,21:00,13,13066
511,10/11/13 22:00,Jupiter,FL,US,light,900,26.9338889,-80.0944444,10/11/13,22:00,13,33458
512,10/11/13 22:00,Melbourne,FL,US,sphere,300,28.0833333,-80.6083333,10/11/13,22:00,13,32901
513,10/11/13 22:08,Dresser,WI,US,sphere,60,45.3561111,-92.6333333,10/11/13,22:08,13,54009
514,10/11/13 22:10,Lombard,IL,US,formation,60,41.88,-88.0077778,10/11/13,22:10,13,60148
517,10/11/13 23:00,North Canton,OH,US,fireball,10,40.8758333,-81.4025,10/11/13,23:00,13,44720
518,10/11/13 23:15,Pinckney,MI,US,fireball,2,42.4566667,-83.9463889,10/11/13,23:15,13,48169
989,10/1/10 0:00,Delray Beach,FL,US,other,180,26.4611111,-80.0730556,10/1/10,0:00,10,33444
990,10/1/10 6:25,Aripeka,FL,US,light,8,28.4319444,-82.6644444,10/1/10,6:25,10,34667
991,10/1/10 7:00,Chico,CA,US,unknown,0,39.7286111,-121.8363889,10/1/10,7:00,10,95928
993,10/1/10 8:30,Middleton,WI,US,other,180,43.0972222,-89.5041667,10/1/10,8:30,10,53562
994,10/1/10 9:30,Spotsylvania,VA,US,circle,1800,38.2008333,-77.5894444,10/1/10,9:30,10,22553
995,10/1/10 10:05,Seattle,WA,US,unknown,0,47.6063889,-122.3308333,10/1/10,10:05,10,98104
997,10/1/10 12:16,Waxahachie,TX,US,disk,1,32.3863889,-96.8480556,10/1/10,12:16,10,75165
998,10/1/10 16:30,Dallas,TX,US,other,15,32.7833333,-96.8,10/1/10,16:30,10,75201
999,10/1/10 18:30,Strasburg,VA,US,cigar,300,38.9886111,-78.3588889,10/1/10,18:30,10,22657
1000,10/1/10 19:45,Fayetteville,NC,US,light,300,35.0525,-78.8786111,10/1/10,19:45,10,28301
1001,10/1/10 20:45,Brunswick,OH,US,triangle,600,41.2380556,-81.8419444,10/1/10,20:45,10,44212
1002,10/1/10 21:00,Arlington,WA,US,oval,300,48.1988889,-122.1238889,10/1/10,21:00,10,98223
1005,10/1/10 23:00,Corona,CA,US,unknown,30,33.8752778,-117.5655556,10/1/10,23:00,10,92879
1006,10/1/10 23:00,Rock Spring,GA,US,light,300,34.8241667,-85.2427778,10/1/10,23:00,10,30739
1009,10/1/11 0:00,Vancouver,WA,US,light,0,45.6388889,-122.6602778,10/1/11,0:00,11,98663
1012,10/1/11 6:00,San Benito,TX,US,triangle,10,26.1322222,-97.6308333,10/1/11,6:00,11,78586
1013,10/1/11 9:30,Brownwood,TX,US,unknown,1500,31.7091667,-98.9908333,10/1/11,9:30,11,76801
1014,10/1/11 13:00,Clinton,MS,US,circle,300,32.3413889,-90.3216667,10/1/11,13:00,11,39056
1015,10/1/11 15:00,Boise,ID,US,unknown,0,43.6136111,-116.2025,10/1/11,15:00,11,83702
1016,10/1/11 16:00,Goshen,CA,US,oval,60,36.3511111,-119.4191667,10/1/11,16:00,11,93227
1018,10/1/11 20:00,Jacksonville,FL,US,unknown,0,30.3319444,-81.6558333,10/1/11,20:00,11,32202
1019,10/1/11 20:00,Linn (Outside Of),MO,US,unknown,5,38.4858333,-91.8502778,10/1/11,20:00,11,65051
1020,10/1/11 20:00,Wilmington,NC,US,triangle,300,34.2255556,-77.945,10/1/11,20:00,11,28401
1021,10/1/11 20:15,Cincinnati,OH,US,sphere,900,39.1619444,-84.4569444,10/1/11,20:15,11,45212
1022,10/1/11 20:30,Palatine,IL,US,light,90,42.1102778,-88.0341667,10/1/11,20:30,11,60067
1023,10/1/11 21:00,Hamburg,CA,US,light,300,41.7830556,-123.0591667,10/1/11,21:00,11,96050
1024,10/1/11 21:20,Carlsbad,CA,US,fireball,10,33.1580556,-117.3497222,10/1/11,21:20,11,92008
1025,10/1/11 21:43,Kansas City,MO,US,fireball,45,39.0997222,-94.5783333,10/1/11,21:43,11,64106
1026,10/1/11 21:43,Kansas City,MO,US,fireball,60,39.0997222,-94.5783333,10/1/11,21:43,11,64106
1027,10/1/11 21:50,Tenino,WA,US,light,180,46.8569444,-122.8516667,10/1/11,21:50,11,98589
1028,10/1/11 22:00,Mccomb,MS,US,rectangle,10,31.2436111,-90.4530556,10/1/11,22:00,11,39648
1030,10/1/11 23:00,Fond Du Lac (Crooked Lake),WI,US,light,0,43.7730556,-88.4469444,10/1/11,23:00,11,54935
1032,10/1/11 23:11,Conyers,GA,US,light,3600,33.6675,-84.0177778,10/1/11,23:11,11,30012
1035,10/1/11 23:57,Homestead,FL,US,formation,35,25.4683333,-80.4777778,10/1/11,23:57,11,33030
1036,10/1/12 1:00,Richmond,TX,US,unknown,300,29.5819444,-95.7605556,10/1/12,1:00,12,77469
1037,10/1/12 1:50,Colorado Springs,CO,US,light,9,38.8338889,-104.8208333,10/1/12,1:50,12,80903
1038,10/1/12 2:00,Surprise,AZ,US,light,9,33.6305556,-112.3325,10/1/12,2:00,12,85378
1039,10/1/12 6:30,Sarasota,FL,US,formation,10,27.3361111,-82.5308333,10/1/12,6:30,12,34237
1043,10/1/12 17:30,Port Hueneme,CA,US,light,1800,34.1477778,-119.1941667,10/1/12,17:30,12,93041
1044,10/1/12 18:02,Leland,NC,US,oval,0,34.2561111,-78.045,10/1/12,18:02,12,28451
1045,10/1/12 19:30,Hinsdale,IL,US,fireball,180,41.8008333,-87.9369444,10/1/12,19:30,12,60521
1046,10/1/12 20:00,Eugene,OR,US,light,180,44.0522222,-123.0855556,10/1/12,20:00,12,97401
1047,10/1/12 20:00,Fontana,CA,US,fireball,900,34.0922222,-117.4341667,10/1/12,20:00,12,92335
1048,10/1/12 20:00,Racine,WI,US,other,900,42.7261111,-87.7827778,10/1/12,20:00,12,53403
1049,10/1/12 20:00,Sunfield,MI,US,unknown,300,42.7622222,-84.9925,10/1/12,20:00,12,48890
1050,10/1/12 20:10,Capitola,CA,US,light,60,36.9752778,-121.9522222,10/1/12,20:10,12,95010
1051,10/1/12 22:30,Sauk Centre,MN,US,triangle,2700,45.7375,-94.9522222,10/1/12,22:30,12,56378
1052,10/1/12 23:00,Huntington,IN,US,fireball,180,40.8830556,-85.4975,10/1/12,23:00,12,46750
1054,10/1/13 3:00,Colorado Springs,CO,US,triangle,5400,38.8338889,-104.8208333,10/1/13,3:00,13,80903
1055,10/1/13 6:35,Bel Air,MD,US,flash,4,39.5358333,-76.3486111,10/1/13,6:35,13,21014
1056,10/1/13 7:40,Bakersfield,CA,US,circle,30,35.3733333,-119.0177778,10/1/13,7:40,13,93301
1060,10/1/13 9:43,Muncie,IN,US,triangle,7200,40.1933333,-85.3863889,10/1/13,9:43,13,47305
1061,10/1/13 12:30,Pittsburgh,PA,US,unknown,60,40.4405556,-79.9961111,10/1/13,12:30,13,15219
1062,10/1/13 12:30,Pittsburgh,PA,US,unknown,60,40.4405556,-79.9961111,10/1/13,12:30,13,15219
1064,10/1/13 18:30,Boulder,CO,US,light,240,40.015,-105.27,10/1/13,18:30,13,80302
1065,10/1/13 19:15,Thibodaux,LA,US,unknown,300,29.7955556,-90.8227778,10/1/13,19:15,13,70301
1066,10/1/13 19:20,Webster,NY,US,sphere,1800,43.2122222,-77.4302778,10/1/13,19:20,13,14580
1067,10/1/13 19:25,Southwest Ranches,FL,US,light,300,26.0583333,-80.3375,10/1/13,19:25,13,33330
1068,10/1/13 20:00,Tampa,FL,US,light,3600,27.9472222,-82.4586111,10/1/13,20:00,13,33602
1069,10/1/13 21:30,Cumming,GA,US,fireball,1200,34.2072222,-84.1402778,10/1/13,21:30,13,30040
1070,10/1/13 21:40,Sneedville,TN,US,circle,90,36.5297222,-83.2175,10/1/13,21:40,13,37869
1071,10/1/13 22:10,White Lake,MI,US,unknown,900,42.6916667,-83.5541667,10/1/13,22:10,13,48383
1072,10/1/13 22:30,Waterloo,IA,US,triangle,60,42.4927778,-92.3427778,10/1/13,22:30,13,50701
1073,10/1/13 22:45,Middle Island (Long Island),NY,US,fireball,1200,40.8841667,-72.9377778,10/1/13,22:45,13,11953
1075,10/1/13 23:30,Arlington,WI,US,unknown,600,43.3380556,-89.3802778,10/1/13,23:30,13,53911
1238,10/12/10 0:56,Cross Roads,TX,US,triangle,180,31.0747222,-96.1425,10/12/10,0:56,10,77871
1239,10/12/10 6:00,Tomball,TX,US,cigar,20,30.0969444,-95.6158333,10/12/10,6:00,10,77375
