latitude_deg,longitude_deg,city,zip_code,county,state,country
42.2625,-71.80277779999999,Worcester,1609.0,Worcester County,Massachusetts,United States
40.6377778,-74.45138890000001,Watchung (Was My Perspective),7069.0,Somerset County,New Jersey,United States
42.610555600000005,-71.23472220000001,Tewksbury,1876.0,Middlesex County,Massachusetts,United States
41.6347222,-84.9994444,Angola,46703.0,Steuben County,Indiana,United States
46.6022222,-120.5047222,Yakima,98901.0,Yakima County,Washington,United States
39.2544444,-76.7002778,Arbutus,21227.0,Baltimore County,Maryland,United States
41.2788889,-75.87861109999999,Forty Fort,18704.0,Luzerne County,Pennsylvania,United States
43.0830556,-73.785,Saratoga Springs,12866.0,Saratoga County,New York,United States
41.2052778,-76.00527779999999,Nanticoke,18634.0,Luzerne County,Pennsylvania,United States
32.3122222,-106.7777778,Las Cruces,88001.0,Doña Ana County,New Mexico,United States
47.3525,-121.9825,Ravensdale,98051.0,King County,Washington,United States
40.155,-74.8291667,Levittown,19055.0,Bucks County,Pennsylvania,United States
33.4483333,-112.07333329999999,Phoenix,85004.0,Maricopa County,Arizona,United States
41.6572222,-87.68,Blue Island,60406.0,Cook County,Illinois,United States
43.419444399999996,-83.9508333,Saginaw,48601.0,Saginaw County,Michigan,United States
41.7297222,-93.6055556,Ankeny,50023.0,Polk County,Iowa,United States
26.823055600000004,-80.13888890000001,Palm Beach Gardens,33418.0,Palm Beach County,Florida,United States
42.2916667,-85.58722220000001,Kalamazoo,49007.0,Kalamazoo County,Michigan,United States
38.9716667,-95.235,Lawrence,66044.0,Douglas County,Kansas,United States
40.978055600000005,-81.7822222,Rittman,44270.0,Wayne County,Ohio,United States
32.7394444,-114.6338889,Winterhaven,92283.0,Imperial County,California,United States
44.49055560000001,-73.11138890000001,Essex Junction,5452.0,Chittenden County,Vermont,United States
39.161944399999996,-84.4569444,Cincinnati,45212.0,Hamilton County,Ohio,United States
